epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7178,1.23366,2.68618,1.64123,0.50389,0.55423,0.54839,0.34593,1.49118,2.14835,2.07693,0.000301671,0.000301671,0.000301671
2,34.8782,1.24998,2.11419,1.63391,0.47014,0.44041,0.45251,0.26493,1.71204,2.32091,2.25175,0.000598685,0.000598685,0.000598685
3,51.0492,1.26411,1.97318,1.64389,0.59961,0.257,0.29934,0.12287,2.0221,2.37649,2.86697,0.000889699,0.000889699,0.000889699
4,66.7277,1.25291,1.82972,1.61845,0.63353,0.42934,0.40087,0.23176,1.72767,2.2572,2.32481,0.000882003,0.000882003,0.000882003
5,82.5389,1.23183,1.73421,1.59941,0.64849,0.41798,0.50846,0.28352,1.64381,1.68233,2.14456,0.000873004,0.000873004,0.000873004
6,98.2503,1.20408,1.65007,1.59082,0.55639,0.52122,0.50634,0.29821,1.61001,1.83474,2.23295,0.000864004,0.000864004,0.000864004
7,114.145,1.15245,1.55614,1.54234,0.5152,0.62347,0.61442,0.35874,1.60191,1.58925,2.0574,0.000855005,0.000855005,0.000855005
8,129.87,1.16332,1.53882,1.54311,0.6033,0.56103,0.69437,0.43994,1.51711,1.48922,2.05975,0.000846006,0.000846006,0.000846006
9,145.633,1.14013,1.50078,1.53515,0.62527,0.5425,0.67914,0.43213,1.33438,1.44062,1.83358,0.000837007,0.000837007,0.000837007
10,161.566,1.11252,1.42307,1.51535,0.62657,0.46329,0.6239,0.38429,1.46744,1.4574,1.92485,0.000828008,0.000828008,0.000828008
11,177.43,1.09344,1.37688,1.49039,0.48648,0.71021,0.69451,0.44814,1.41697,1.30977,1.91816,0.000819009,0.000819009,0.000819009
12,193.389,1.06819,1.35334,1.47302,0.48677,0.62227,0.61531,0.38801,1.39276,1.48052,1.88542,0.00081001,0.00081001,0.00081001
13,209.256,1.06567,1.31096,1.47357,0.72384,0.54313,0.70231,0.44478,1.36415,1.40045,1.83826,0.000801011,0.000801011,0.000801011
14,224.888,1.07449,1.30194,1.47315,0.61144,0.68992,0.7318,0.46058,1.37415,1.30043,1.88463,0.000792012,0.000792012,0.000792012
15,241.762,1.05204,1.25854,1.45385,0.636,0.65358,0.69954,0.45862,1.38921,1.29549,1.92054,0.000783013,0.000783013,0.000783013
16,260.921,1.03132,1.24269,1.4453,0.69281,0.56699,0.6942,0.44825,1.42017,1.31685,1.86414,0.000774013,0.000774013,0.000774013
17,280.226,1.03034,1.19165,1.43614,0.55254,0.65163,0.75004,0.50008,1.27087,1.22407,1.83781,0.000765014,0.000765014,0.000765014
18,299.507,1.01075,1.17782,1.42414,0.64651,0.64661,0.74473,0.52338,1.24598,1.10631,1.7831,0.000756015,0.000756015,0.000756015
19,318.607,1.00673,1.16669,1.42817,0.68355,0.76303,0.81136,0.55054,1.25984,1.1784,1.7319,0.000747016,0.000747016,0.000747016
20,338.17,0.99118,1.12096,1.40527,0.7387,0.73636,0.80098,0.50122,1.31413,1.06644,1.79837,0.000738017,0.000738017,0.000738017
21,357.404,0.99296,1.12427,1.41153,0.63929,0.68224,0.7108,0.4144,1.67922,1.43996,2.23994,0.000729018,0.000729018,0.000729018
22,376.435,0.96919,1.07656,1.38559,0.72882,0.67632,0.77586,0.5354,1.23645,1.06628,1.73502,0.000720019,0.000720019,0.000720019
23,395.858,0.97791,1.07675,1.39473,0.7455,0.70925,0.78992,0.56748,1.16371,0.96352,1.66423,0.00071102,0.00071102,0.00071102
24,414.788,0.95356,1.04404,1.38149,0.78173,0.58201,0.78487,0.51993,1.19373,1.06826,1.72291,0.000702021,0.000702021,0.000702021
25,433.997,0.9608,1.04712,1.38311,0.70859,0.65334,0.77373,0.49918,1.26963,1.06445,1.77087,0.000693022,0.000693022,0.000693022
26,453.386,0.95303,1.01131,1.37153,0.8188,0.59441,0.75429,0.53264,1.2366,1.09637,1.77213,0.000684022,0.000684022,0.000684022
27,472.18,0.94523,1.00957,1.37797,0.75823,0.74077,0.79151,0.53477,1.1935,1.01527,1.68492,0.000675023,0.000675023,0.000675023
28,491.67,0.91913,0.98801,1.35121,0.80991,0.65734,0.81544,0.58316,1.11221,0.93814,1.63026,0.000666024,0.000666024,0.000666024
29,511.29,0.92458,0.9638,1.35496,0.82331,0.71329,0.79614,0.56371,1.15609,0.97296,1.67685,0.000657025,0.000657025,0.000657025
30,530.897,0.90844,0.96462,1.34278,0.75127,0.73629,0.81611,0.52889,1.33273,1.02959,1.80898,0.000648026,0.000648026,0.000648026
31,550.494,0.90403,0.92577,1.33605,0.8041,0.74077,0.78897,0.53671,1.18215,0.99637,1.72555,0.000639027,0.000639027,0.000639027
32,570.046,0.90513,0.92639,1.34104,0.78057,0.71851,0.81071,0.55305,1.19905,0.96357,1.70749,0.000630028,0.000630028,0.000630028
33,589.64,0.91305,0.95013,1.34252,0.79634,0.72137,0.83414,0.58895,1.16665,0.84079,1.69355,0.000621029,0.000621029,0.000621029
34,609.202,0.87515,0.90295,1.32391,0.77057,0.75237,0.83926,0.57258,1.12439,0.95531,1.61259,0.00061203,0.00061203,0.00061203
