epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7768,1.23374,2.71151,1.63253,0.61328,0.3404,0.42367,0.25729,1.34145,2.30172,1.88192,0.000301659,0.000301659,0.000301659
2,35.36,1.24923,2.07234,1.63921,0.53923,0.45451,0.42883,0.19263,1.88467,2.8423,2.48016,0.000598673,0.000598673,0.000598673
3,52.0936,1.28556,1.95458,1.64833,0.55714,0.42784,0.36316,0.2106,1.81831,2.60619,2.51857,0.000889688,0.000889688,0.000889688
4,67.8906,1.26606,1.82201,1.62353,0.58796,0.5498,0.56807,0.32265,1.60038,1.89417,2.0655,0.000882003,0.000882003,0.000882003
5,84.0221,1.24322,1.6978,1.61004,0.53003,0.40463,0.43772,0.26238,1.58576,2.15015,2.13806,0.000873004,0.000873004,0.000873004
6,100.796,1.20379,1.65323,1.59032,0.81115,0.37248,0.57781,0.33925,1.69655,1.83917,2.18989,0.000864004,0.000864004,0.000864004
7,118.348,1.1864,1.58313,1.56556,0.59271,0.53397,0.59075,0.37403,1.46155,1.56474,1.93088,0.000855005,0.000855005,0.000855005
8,137.218,1.15022,1.51984,1.53957,0.60272,0.50299,0.5504,0.34401,1.63201,1.73372,2.18094,0.000846006,0.000846006,0.000846006
9,154.788,1.14713,1.47167,1.53879,0.76327,0.52581,0.68046,0.41466,1.39066,1.40524,1.91245,0.000837007,0.000837007,0.000837007
10,174.006,1.11232,1.42255,1.51427,0.44023,0.52735,0.63416,0.34992,1.55161,1.50614,1.98255,0.000828008,0.000828008,0.000828008
11,190.862,1.10636,1.38362,1.49649,0.52926,0.63267,0.66813,0.40729,1.50746,1.50854,1.94229,0.000819009,0.000819009,0.000819009
12,207.612,1.09659,1.34752,1.49139,0.63271,0.59686,0.67587,0.41427,1.35828,1.26824,1.82156,0.00081001,0.00081001,0.00081001
13,224.229,1.08668,1.31705,1.4821,0.57976,0.5813,0.63183,0.39583,1.38308,1.30355,1.83268,0.000801011,0.000801011,0.000801011
14,240.923,1.0652,1.28252,1.46106,0.8119,0.44432,0.60234,0.39754,1.30309,1.34435,1.77177,0.000792012,0.000792012,0.000792012
15,257.539,1.05718,1.25035,1.4615,0.58419,0.58804,0.65614,0.39226,1.46385,1.38138,1.92577,0.000783013,0.000783013,0.000783013
