epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.292,1.25181,2.56317,1.64133,0.58809,0.43896,0.4137,0.19582,1.62744,2.2368,2.09636,0.000332066,0.000332066,0.000332066
2,52.0132,1.25908,2.0342,1.63821,0.31514,0.47387,0.3519,0.15849,1.75409,2.5275,2.22475,0.000658812,0.000658812,0.000658812
3,74.7819,1.30502,1.94593,1.67587,0.53523,0.40911,0.41927,0.18561,1.8706,2.05977,2.33548,0.000978958,0.000978958,0.000978958
4,97.0505,1.30393,1.80165,1.65985,0.48711,0.49715,0.50946,0.24827,1.71218,1.82449,2.1472,0.0009703,0.0009703,0.0009703
5,119.575,1.26366,1.70766,1.62484,0.47133,0.58229,0.50063,0.23287,1.68288,1.91565,2.0961,0.0009604,0.0009604,0.0009604
6,142.375,1.24242,1.65848,1.61677,0.36165,0.5088,0.42716,0.20134,2.01626,2.37507,2.50497,0.0009505,0.0009505,0.0009505
7,164.989,1.2099,1.56743,1.58343,0.49645,0.61536,0.57375,0.30119,1.6263,1.5515,2.03563,0.0009406,0.0009406,0.0009406
8,187.946,1.17262,1.48403,1.55746,0.5408,0.61075,0.56614,0.29055,1.65858,1.51826,2.02059,0.0009307,0.0009307,0.0009307
9,210.86,1.16342,1.45027,1.54684,0.51144,0.62981,0.5905,0.30891,1.64469,1.59439,1.99591,0.0009208,0.0009208,0.0009208
10,233.774,1.15834,1.42052,1.53986,0.60165,0.63654,0.61176,0.33888,1.58697,1.50101,1.96515,0.0009109,0.0009109,0.0009109
11,256.678,1.15311,1.38753,1.53108,0.51631,0.65867,0.59811,0.33296,1.52198,1.42274,1.92397,0.000901,0.000901,0.000901
12,279.841,1.11901,1.33651,1.49715,0.61876,0.63091,0.62661,0.3534,1.52573,1.44414,1.91114,0.0008911,0.0008911,0.0008911
13,303.133,1.10551,1.31894,1.50251,0.5234,0.67631,0.60855,0.3503,1.46137,1.3194,1.87719,0.0008812,0.0008812,0.0008812
14,326.143,1.09745,1.28341,1.48682,0.52863,0.71064,0.63661,0.36569,1.45471,1.35925,1.82045,0.0008713,0.0008713,0.0008713
15,349.111,1.07448,1.24518,1.4685,0.57645,0.7194,0.63532,0.35892,1.4901,1.35671,1.89093,0.0008614,0.0008614,0.0008614
16,372.119,1.06267,1.2173,1.45956,0.59033,0.72397,0.6647,0.39764,1.41902,1.22174,1.83217,0.0008515,0.0008515,0.0008515
17,394.931,1.06423,1.21401,1.46189,0.47292,0.77425,0.61498,0.3367,1.49136,1.30039,1.92851,0.0008416,0.0008416,0.0008416
18,417.418,1.05679,1.19556,1.45294,0.40956,0.74809,0.60311,0.35517,1.46285,1.42954,1.8781,0.0008317,0.0008317,0.0008317
19,439.972,1.03693,1.16037,1.43584,0.59914,0.71372,0.66814,0.38017,1.41905,1.19001,1.85765,0.0008218,0.0008218,0.0008218
20,463.033,1.03164,1.1379,1.42812,0.53404,0.69502,0.63921,0.38098,1.45824,1.24882,1.85904,0.0008119,0.0008119,0.0008119
21,486.219,1.00109,1.10495,1.41843,0.5787,0.73034,0.66058,0.39101,1.39502,1.19865,1.80831,0.000802,0.000802,0.000802
22,508.44,1.01743,1.11499,1.42429,0.58425,0.72216,0.64082,0.36702,1.40627,1.20491,1.81282,0.0007921,0.0007921,0.0007921
23,530.846,0.9932,1.08572,1.40559,0.62787,0.71672,0.67983,0.40661,1.3395,1.14343,1.77194,0.0007822,0.0007822,0.0007822
24,553.376,1.00574,1.05922,1.41335,0.66847,0.70588,0.66692,0.38095,1.50569,1.30901,1.94699,0.0007723,0.0007723,0.0007723
25,575.896,0.98438,1.0528,1.3967,0.66522,0.71363,0.68166,0.40473,1.3508,1.21392,1.75673,0.0007624,0.0007624,0.0007624
26,598.603,0.98148,1.04346,1.39513,0.73434,0.71375,0.70179,0.43209,1.36249,1.14738,1.77686,0.0007525,0.0007525,0.0007525
