epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9345,1.25177,2.59539,1.64444,0.67501,0.34361,0.38253,0.17424,1.62005,2.36864,2.00756,0.00033213,0.00033213,0.00033213
2,44.3989,1.26463,2.05931,1.63217,0.3624,0.45129,0.39323,0.18945,1.90187,3.14,2.33416,0.000658875,0.000658875,0.000658875
3,68.0468,1.29301,1.95814,1.65731,0.2181,0.39745,0.24402,0.12692,2.14313,2.85881,2.73015,0.00097902,0.00097902,0.00097902
4,91.9119,1.29044,1.84387,1.65379,0.54804,0.49023,0.47754,0.23966,1.79303,1.96638,2.17132,0.0009703,0.0009703,0.0009703
5,115.345,1.2536,1.73565,1.63246,0.42331,0.57387,0.45234,0.22636,1.85272,2.24213,2.31105,0.0009604,0.0009604,0.0009604
6,138.783,1.2243,1.64795,1.60598,0.44518,0.56925,0.50756,0.26829,1.68019,2.1314,2.1058,0.0009505,0.0009505,0.0009505
7,161.641,1.19706,1.58198,1.57801,0.46452,0.61325,0.50572,0.25941,1.86428,2.08968,2.27344,0.0009406,0.0009406,0.0009406
8,184.537,1.17971,1.52559,1.55895,0.41624,0.60064,0.4943,0.27509,1.61557,2.00975,2.03767,0.0009307,0.0009307,0.0009307
9,207.704,1.16184,1.46704,1.54218,0.52114,0.58367,0.51991,0.27585,1.88164,1.99257,2.31859,0.0009208,0.0009208,0.0009208
10,231.133,1.14578,1.43,1.53359,0.45483,0.60324,0.53333,0.29948,1.76939,1.95605,2.19324,0.0009109,0.0009109,0.0009109
11,254.345,1.13418,1.4049,1.52908,0.51234,0.6195,0.5353,0.30877,1.61711,1.77531,2.08113,0.000901,0.000901,0.000901
12,277.267,1.10808,1.35787,1.50364,0.48929,0.61326,0.53987,0.29628,1.75559,2.01451,2.19643,0.0008911,0.0008911,0.0008911
13,300.103,1.0963,1.34057,1.49909,0.50528,0.66852,0.56534,0.31567,1.64718,1.80775,2.05047,0.0008812,0.0008812,0.0008812
14,322.514,1.08332,1.30229,1.47992,0.57057,0.60172,0.53907,0.30673,1.837,1.84976,2.3757,0.0008713,0.0008713,0.0008713
15,345.083,1.07959,1.28153,1.48129,0.52799,0.62778,0.55989,0.32054,1.67469,1.73504,2.09646,0.0008614,0.0008614,0.0008614
16,367.541,1.05433,1.25528,1.46273,0.52648,0.66972,0.57632,0.34019,1.70039,1.75489,2.24741,0.0008515,0.0008515,0.0008515
17,389.945,1.06518,1.24718,1.4638,0.50465,0.66872,0.58166,0.31635,1.78163,1.7941,2.26627,0.0008416,0.0008416,0.0008416
18,412.518,1.02995,1.19226,1.43557,0.62479,0.66639,0.60508,0.37198,1.55288,1.65347,2.0396,0.0008317,0.0008317,0.0008317
19,435.074,1.03669,1.16758,1.44283,0.72201,0.61494,0.61282,0.37434,1.60525,1.65663,2.09124,0.0008218,0.0008218,0.0008218
20,458.069,1.0166,1.14892,1.43058,0.63334,0.63105,0.58255,0.33744,1.66884,1.59238,2.11087,0.0008119,0.0008119,0.0008119
