epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8833,1.2428,2.63212,1.63455,0.50047,0.36033,0.36688,0.16508,1.7514,2.14711,2.17546,0.000301987,0.000301987,0.000301987
2,46.711,1.25418,2.05471,1.62936,0.47697,0.42619,0.36885,0.18489,1.60278,2.23116,2.02162,0.000598997,0.000598997,0.000598997
3,68.1428,1.29659,1.92286,1.6528,0.55174,0.38509,0.36255,0.20135,1.73908,2.19907,2.18073,0.000890008,0.000890008,0.000890008
4,89.3459,1.26425,1.83051,1.63084,0.48526,0.46575,0.47252,0.24532,1.72045,1.74909,2.1606,0.000882003,0.000882003,0.000882003
5,109.753,1.2304,1.7285,1.60831,0.5927,0.45305,0.47444,0.25248,1.64883,1.81656,2.12388,0.000873004,0.000873004,0.000873004
6,130.844,1.2155,1.65262,1.58866,0.51732,0.49798,0.49119,0.29812,1.4864,1.64852,1.92001,0.000864004,0.000864004,0.000864004
7,152.12,1.18482,1.57482,1.56299,0.54587,0.61255,0.57179,0.34134,1.50022,1.40837,1.94047,0.000855005,0.000855005,0.000855005
8,172.667,1.16965,1.51986,1.55562,0.56066,0.51704,0.54755,0.33993,1.51729,1.62121,1.93625,0.000846006,0.000846006,0.000846006
9,193.554,1.15098,1.45681,1.53187,0.55868,0.5948,0.54531,0.33513,1.46817,1.42533,1.91072,0.000837007,0.000837007,0.000837007
10,215.61,1.1253,1.43096,1.51535,0.56854,0.53309,0.58519,0.36249,1.47701,1.4143,1.93898,0.000828008,0.000828008,0.000828008
11,238.196,1.11706,1.39296,1.50734,0.62891,0.44275,0.61557,0.37857,1.40941,1.64516,1.88217,0.000819009,0.000819009,0.000819009
12,260.71,1.10723,1.35402,1.50455,0.56269,0.57984,0.65076,0.39125,1.36133,1.28373,1.78723,0.00081001,0.00081001,0.00081001
13,283.264,1.08064,1.32739,1.47826,0.5849,0.55587,0.63696,0.39235,1.35383,1.33384,1.84749,0.000801011,0.000801011,0.000801011
14,305.758,1.06479,1.27479,1.47107,0.59762,0.56656,0.6526,0.38264,1.39216,1.26391,1.82075,0.000792012,0.000792012,0.000792012
