epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.407,1.30534,2.81816,1.65041,0.50915,0.40159,0.45072,0.24477,1.4989,3.17634,2.04722,0.000330435,0.000330435,0.000330435
2,631.419,1.31355,2.21576,1.63774,0.60016,0.37438,0.40301,0.23323,1.89107,3.45715,2.5234,0.000650626,0.000650626,0.000650626
3,937.702,1.3382,2.14851,1.66552,0.37493,0.56284,0.44389,0.20115,1.85059,2.8724,2.37698,0.000957616,0.000957616,0.000957616
4,1225.14,1.3451,2.0796,1.67904,0.35322,0.57524,0.4,0.20165,1.82086,2.68105,2.43824,0.0009406,0.0009406,0.0009406
5,1525.3,1.32536,1.96473,1.65094,0.48508,0.4608,0.51244,0.24802,1.6142,2.43991,2.23096,0.0009208,0.0009208,0.0009208
6,1831.57,1.30665,1.82174,1.61101,0.50121,0.56304,0.57149,0.2999,1.57661,2.04901,2.02281,0.000901,0.000901,0.000901
7,2137.79,1.2451,1.79715,1.58749,0.46066,0.61974,0.52354,0.30153,1.63913,1.94482,2.11087,0.0008812,0.0008812,0.0008812
8,2442.95,1.2334,1.67765,1.56031,0.5869,0.69653,0.65669,0.35223,1.63266,1.67574,2.13495,0.0008614,0.0008614,0.0008614
9,2747.82,1.23397,1.64392,1.55621,0.42889,0.70211,0.59313,0.38695,1.36907,1.88585,1.84763,0.0008416,0.0008416,0.0008416
10,3054.99,1.22116,1.5926,1.54771,0.63157,0.55967,0.63839,0.39234,1.55979,1.75347,1.93067,0.0008218,0.0008218,0.0008218
11,3363.18,1.2066,1.58518,1.52896,0.52904,0.80791,0.68487,0.40176,1.49186,1.6214,1.96305,0.000802,0.000802,0.000802
12,3671.36,1.15619,1.479,1.51237,0.5469,0.64162,0.67039,0.4395,1.49633,1.5805,1.95949,0.0007822,0.0007822,0.0007822
13,3971.45,1.14331,1.45607,1.49351,0.64077,0.72667,0.71507,0.45023,1.49758,1.48258,1.92544,0.0007624,0.0007624,0.0007624
14,4217.79,1.12561,1.42068,1.48861,0.55507,0.77926,0.72799,0.43331,1.42559,1.32235,1.81709,0.0007426,0.0007426,0.0007426
15,4458.13,1.12297,1.43483,1.47529,0.59223,0.82502,0.70507,0.44475,1.3799,1.47351,1.86407,0.0007228,0.0007228,0.0007228
16,4700.5,1.11677,1.3469,1.4583,0.58351,0.74942,0.71502,0.46211,1.46929,1.42188,1.96132,0.000703,0.000703,0.000703
17,4938.63,1.11018,1.34961,1.45406,0.53898,0.72575,0.65301,0.40454,1.57393,1.49035,2.10412,0.0006832,0.0006832,0.0006832
18,5175.01,1.10656,1.34419,1.45324,0.5877,0.8398,0.72859,0.48126,1.36086,1.29636,1.84442,0.0006634,0.0006634,0.0006634
19,5415.52,1.10022,1.31282,1.45609,0.60157,0.7669,0.72178,0.49341,1.32339,1.38268,1.84607,0.0006436,0.0006436,0.0006436
20,5654.29,1.08106,1.25579,1.43447,0.7239,0.7096,0.71499,0.49113,1.25806,1.23977,1.74305,0.0006238,0.0006238,0.0006238
21,5892.32,1.05795,1.23927,1.421,0.65256,0.8306,0.77461,0.50675,1.20918,1.2246,1.70295,0.000604,0.000604,0.000604
22,6132.3,1.02488,1.16476,1.38965,0.75141,0.71413,0.80461,0.53704,1.35155,1.15645,1.9088,0.0005842,0.0005842,0.0005842
23,6375.29,1.03256,1.1551,1.40204,0.66486,0.89333,0.79548,0.53477,1.36881,1.21578,1.83284,0.0005644,0.0005644,0.0005644
24,6614.32,1.02479,1.14285,1.39835,0.7076,0.79816,0.82832,0.58104,1.29917,1.10979,1.74805,0.0005446,0.0005446,0.0005446
25,6852.02,1.00129,1.10284,1.36992,0.84552,0.75018,0.84301,0.57853,1.3986,1.13204,1.8877,0.0005248,0.0005248,0.0005248
26,7090.68,0.99469,1.10645,1.37859,0.80825,0.83674,0.89584,0.63007,1.19804,0.9381,1.69405,0.000505,0.000505,0.000505
27,7331.73,0.9885,1.07913,1.37891,0.8886,0.8367,0.89188,0.63866,1.25299,0.87114,1.72308,0.0004852,0.0004852,0.0004852
28,7570.98,0.97522,1.045,1.35413,0.88378,0.8509,0.9345,0.62631,1.30022,0.84638,1.77778,0.0004654,0.0004654,0.0004654
29,7812.12,0.96348,1.01332,1.35573,0.77041,0.9517,0.92263,0.63379,1.20216,0.95849,1.67843,0.0004456,0.0004456,0.0004456
30,8052.63,0.96686,1.04933,1.35395,0.94887,0.76579,0.9057,0.60627,1.35635,0.89145,1.81702,0.0004258,0.0004258,0.0004258
31,8295.28,0.94964,0.97783,1.33605,0.93769,0.74264,0.86045,0.57434,1.3138,0.93028,1.76303,0.000406,0.000406,0.000406
32,8536.99,0.94004,0.95644,1.31891,0.86003,0.89145,0.91385,0.61485,1.3576,0.99065,1.82666,0.0003862,0.0003862,0.0003862
33,8774.12,0.9534,0.96915,1.33444,0.88466,0.77072,0.89179,0.62156,1.15083,0.88188,1.63205,0.0003664,0.0003664,0.0003664
34,9014.98,0.90372,0.91269,1.307,0.92435,0.78333,0.91485,0.62476,1.31109,0.88595,1.82833,0.0003466,0.0003466,0.0003466
