epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1115,1.26741,2.89944,1.63496,0.60399,0.35594,0.29631,0.15583,1.65021,2.22728,1.95759,0.000302161,0.000302161,0.000302161
2,60.0034,1.29073,2.39606,1.6345,0.31969,0.36005,0.27919,0.12264,1.71015,2.18087,2.27997,0.00059917,0.00059917,0.00059917
3,86.7624,1.30065,2.20982,1.63488,0.30032,0.49299,0.35911,0.18964,1.68976,1.70471,2.0258,0.000890179,0.000890179,0.000890179
4,114.472,1.30256,2.12345,1.63373,0.78134,0.32554,0.39008,0.20654,1.60922,1.78788,1.96382,0.000882003,0.000882003,0.000882003
5,140.954,1.25521,2.00138,1.58693,0.28848,0.543,0.3603,0.22385,1.47707,1.65781,1.83714,0.000873004,0.000873004,0.000873004
6,166.856,1.23339,1.92369,1.57002,0.39783,0.54636,0.39893,0.22788,1.64569,1.67918,2.08681,0.000864004,0.000864004,0.000864004
7,193.042,1.2033,1.8383,1.54016,0.35028,0.55581,0.43989,0.25097,1.47503,1.45783,1.83619,0.000855005,0.000855005,0.000855005
8,219.189,1.17235,1.79972,1.52553,0.43932,0.4397,0.48518,0.29003,1.46042,1.46183,1.86068,0.000846006,0.000846006,0.000846006
9,245.453,1.17521,1.75318,1.52059,0.47499,0.43094,0.52314,0.31488,1.42888,1.30538,1.79577,0.000837007,0.000837007,0.000837007
10,271.638,1.13984,1.71635,1.49536,0.4294,0.65522,0.47184,0.28637,1.41788,1.31951,1.78714,0.000828008,0.000828008,0.000828008
11,297.875,1.13215,1.66039,1.481,0.41062,0.60723,0.52285,0.29138,1.45603,1.39774,1.80541,0.000819009,0.000819009,0.000819009
12,324.217,1.10246,1.63147,1.46513,0.43991,0.71214,0.52385,0.30473,1.45831,1.37139,1.82501,0.00081001,0.00081001,0.00081001
13,351.287,1.08987,1.59727,1.45545,0.41221,0.67477,0.54102,0.30996,1.45207,1.35227,1.7818,0.000801011,0.000801011,0.000801011
14,377.527,1.07796,1.57062,1.44161,0.44838,0.68026,0.54073,0.34919,1.34796,1.17057,1.73289,0.000792012,0.000792012,0.000792012
15,404.286,1.06175,1.53215,1.42357,0.49321,0.78874,0.58994,0.36868,1.29314,1.14362,1.68195,0.000783013,0.000783013,0.000783013
16,430.146,1.06821,1.51529,1.42073,0.51751,0.68071,0.58314,0.34749,1.34827,1.20122,1.71539,0.000774013,0.000774013,0.000774013
17,456.174,1.04425,1.49877,1.41037,0.45899,0.7441,0.55674,0.35792,1.42329,1.25293,1.79997,0.000765014,0.000765014,0.000765014
18,482.082,1.03628,1.47161,1.40279,0.46247,0.73304,0.60285,0.37646,1.33852,1.16333,1.74144,0.000756015,0.000756015,0.000756015
19,508.523,1.01188,1.44129,1.38535,0.57353,0.55678,0.55955,0.35892,1.4515,1.26481,1.85282,0.000747016,0.000747016,0.000747016
20,534.719,1.01369,1.41607,1.385,0.45714,0.7692,0.57362,0.35875,1.33504,1.12339,1.71859,0.000738017,0.000738017,0.000738017
21,560.708,0.9803,1.41557,1.37454,0.60822,0.5361,0.49192,0.2997,1.44738,1.23829,1.8396,0.000729018,0.000729018,0.000729018
22,586.803,0.98786,1.39863,1.37156,0.4643,0.74554,0.62085,0.43062,1.29768,1.09385,1.70426,0.000720019,0.000720019,0.000720019
23,612.701,0.97225,1.36917,1.35083,0.39547,0.71687,0.51849,0.33612,1.31221,1.1981,1.71846,0.00071102,0.00071102,0.00071102
24,638.777,0.9641,1.36866,1.35214,0.47676,0.67742,0.58629,0.37051,1.39139,1.20663,1.75449,0.000702021,0.000702021,0.000702021
25,664.758,0.95473,1.34637,1.34427,0.4296,0.70396,0.54505,0.35284,1.254,1.15216,1.62351,0.000693022,0.000693022,0.000693022
26,691.122,0.94827,1.3299,1.33696,0.47324,0.64541,0.50958,0.32126,1.28122,1.24306,1.66613,0.000684022,0.000684022,0.000684022
27,716.95,0.93855,1.32153,1.33056,0.48576,0.69697,0.55343,0.36766,1.27456,1.09261,1.66845,0.000675023,0.000675023,0.000675023
28,744.07,0.93742,1.30531,1.33189,0.5153,0.64957,0.61869,0.39873,1.23711,1.07824,1.59708,0.000666024,0.000666024,0.000666024
29,769.845,0.93392,1.2996,1.32777,0.45696,0.68976,0.56176,0.34974,1.3068,1.12754,1.69025,0.000657025,0.000657025,0.000657025
30,795.854,0.93214,1.29612,1.31933,0.57719,0.68905,0.5715,0.37366,1.25305,1.12915,1.63631,0.000648026,0.000648026,0.000648026
31,821.692,0.912,1.27825,1.31193,0.44337,0.72599,0.55674,0.36601,1.26697,1.21906,1.66451,0.000639027,0.000639027,0.000639027
32,847.259,0.90577,1.25487,1.30425,0.50498,0.86221,0.64214,0.40256,1.24228,1.06501,1.64103,0.000630028,0.000630028,0.000630028
33,874.749,0.90978,1.25973,1.30417,0.44484,0.7575,0.55996,0.37363,1.25481,1.14712,1.64317,0.000621029,0.000621029,0.000621029
34,904.357,0.88629,1.22927,1.29066,0.49505,0.7052,0.55478,0.38731,1.24487,1.20281,1.6201,0.00061203,0.00061203,0.00061203
35,935.711,0.88405,1.22516,1.2875,0.47514,0.73239,0.56398,0.37601,1.20044,1.073,1.58147,0.000603031,0.000603031,0.000603031
36,963.965,0.88838,1.21884,1.28937,0.46786,0.70144,0.59052,0.40059,1.19475,1.15008,1.59101,0.000594031,0.000594031,0.000594031
37,992.266,0.87643,1.21363,1.28395,0.48483,0.73693,0.586,0.38958,1.2767,1.02312,1.64426,0.000585032,0.000585032,0.000585032
38,1020.38,0.8702,1.18009,1.27723,0.50849,0.72128,0.60701,0.39928,1.25175,0.97873,1.64345,0.000576033,0.000576033,0.000576033
39,1049.03,0.85716,1.20207,1.27335,0.51767,0.75553,0.56855,0.36648,1.26647,1.03583,1.63646,0.000567034,0.000567034,0.000567034
40,1077.11,0.84878,1.18187,1.26449,0.46462,0.65205,0.57561,0.35974,1.23868,1.1177,1.59849,0.000558035,0.000558035,0.000558035
41,1105.71,0.85485,1.18765,1.27283,0.44049,0.68863,0.55013,0.36494,1.21741,1.09693,1.60647,0.000549036,0.000549036,0.000549036
42,1133.89,0.84977,1.16264,1.26411,0.57486,0.62318,0.61039,0.41979,1.21424,1.05405,1.62915,0.000540037,0.000540037,0.000540037
43,1162.15,0.84214,1.13799,1.25687,0.50265,0.65644,0.63667,0.44035,1.20172,1.04831,1.5963,0.000531038,0.000531038,0.000531038
44,1190.19,0.84066,1.14681,1.25417,0.5234,0.73676,0.63338,0.432,1.16258,1.06809,1.56273,0.000522039,0.000522039,0.000522039
45,1218.04,0.82374,1.13276,1.24432,0.53298,0.73589,0.6615,0.44782,1.21287,1.13494,1.62915,0.00051304,0.00051304,0.00051304
46,1246,0.8317,1.13612,1.2524,0.59401,0.70359,0.66668,0.4181,1.22128,1.01459,1.61116,0.00050404,0.00050404,0.00050404
47,1274.22,0.82549,1.13369,1.24511,0.51511,0.72332,0.61,0.41989,1.19108,1.06688,1.57892,0.000495041,0.000495041,0.000495041
48,1302.8,0.80537,1.11227,1.23325,0.48205,0.77092,0.65011,0.42475,1.21301,1.1466,1.61398,0.000486042,0.000486042,0.000486042
49,1331.17,0.81623,1.11066,1.23091,0.53378,0.77734,0.66863,0.44404,1.22894,1.01526,1.6358,0.000477043,0.000477043,0.000477043
50,1359.45,0.80219,1.10024,1.22561,0.55234,0.74519,0.66557,0.4167,1.19062,1.05012,1.6209,0.000468044,0.000468044,0.000468044
51,1387.6,0.7897,1.08814,1.21505,0.5007,0.73576,0.61717,0.42268,1.19254,1.08882,1.61556,0.000459045,0.000459045,0.000459045
52,1415.79,0.78583,1.08245,1.2203,0.53346,0.72521,0.62396,0.43503,1.15441,1.09077,1.57806,0.000450046,0.000450046,0.000450046
53,1443.85,0.79222,1.07697,1.21675,0.47309,0.74103,0.63656,0.421,1.2035,1.07229,1.58975,0.000441047,0.000441047,0.000441047
54,1472.05,0.79411,1.09178,1.21875,0.49876,0.72945,0.64442,0.4387,1.18328,0.99925,1.59193,0.000432048,0.000432048,0.000432048
55,1500.09,0.78963,1.08014,1.21403,0.52126,0.71539,0.62619,0.41668,1.22648,1.08816,1.63289,0.000423049,0.000423049,0.000423049
56,1528.32,0.77751,1.07262,1.20971,0.50066,0.76926,0.60086,0.42014,1.19495,1.06469,1.59635,0.000414049,0.000414049,0.000414049
57,1556.23,0.77819,1.05014,1.20884,0.50182,0.75224,0.63084,0.43785,1.19818,1.0386,1.60819,0.00040505,0.00040505,0.00040505
58,1584.06,0.76518,1.06129,1.20385,0.5193,0.69722,0.64273,0.45853,1.18985,1.08398,1.60824,0.000396051,0.000396051,0.000396051
59,1611.81,0.76132,1.05111,1.20153,0.51213,0.75783,0.64494,0.44399,1.19878,1.05309,1.62554,0.000387052,0.000387052,0.000387052
60,1639.76,0.77281,1.0458,1.20696,0.50255,0.76494,0.65479,0.47447,1.23545,1.10133,1.65204,0.000378053,0.000378053,0.000378053
61,1667.69,0.74315,1.03667,1.19545,0.51641,0.73485,0.66533,0.48195,1.18905,1.03803,1.63369,0.000369054,0.000369054,0.000369054
62,1695.76,0.74778,1.0322,1.19359,0.55665,0.69485,0.65196,0.47005,1.21421,1.059,1.65112,0.000360055,0.000360055,0.000360055
63,1723.88,0.75018,1.03157,1.19245,0.52765,0.71449,0.60752,0.42102,1.20073,1.07203,1.62232,0.000351056,0.000351056,0.000351056
64,1751.8,0.74635,1.02011,1.19305,0.54768,0.71093,0.65854,0.4845,1.19785,1.05717,1.62048,0.000342057,0.000342057,0.000342057
65,1779.84,0.73769,1.0136,1.18407,0.54905,0.72011,0.62266,0.44057,1.20752,1.08983,1.63897,0.000333058,0.000333058,0.000333058
66,1807.67,0.73408,1.01551,1.1798,0.54126,0.71366,0.66353,0.48589,1.18691,1.07538,1.61598,0.000324058,0.000324058,0.000324058
67,1835.44,0.73285,1.0208,1.18249,0.52829,0.71408,0.67032,0.49208,1.16887,1.01823,1.60763,0.000315059,0.000315059,0.000315059
68,1863.37,0.72524,0.99637,1.17628,0.51938,0.72373,0.62892,0.44135,1.20453,1.06988,1.64765,0.00030606,0.00030606,0.00030606
69,1891.28,0.72629,1.00532,1.17166,0.55283,0.75968,0.66355,0.4746,1.20059,1.0354,1.62974,0.000297061,0.000297061,0.000297061
70,1918.89,0.71992,0.99427,1.16964,0.55816,0.74969,0.65249,0.45511,1.2321,1.06266,1.6648,0.000288062,0.000288062,0.000288062
71,1946.55,0.71999,0.98675,1.16907,0.5351,0.69498,0.66147,0.46428,1.18055,1.0329,1.60806,0.000279063,0.000279063,0.000279063
72,1974.48,0.71466,0.99338,1.17049,0.61142,0.67893,0.71552,0.52268,1.22142,1.06511,1.6345,0.000270064,0.000270064,0.000270064
73,2002.48,0.70656,0.98988,1.16249,0.55017,0.73249,0.67284,0.48599,1.21751,1.07105,1.66939,0.000261065,0.000261065,0.000261065
74,2030.42,0.70154,0.98416,1.16411,0.55744,0.70408,0.67585,0.48352,1.2045,1.03256,1.63855,0.000252066,0.000252066,0.000252066
75,2058.22,0.69498,0.96455,1.15329,0.56936,0.67833,0.66951,0.4835,1.21217,1.09365,1.63675,0.000243067,0.000243067,0.000243067
76,2086.13,0.701,0.97847,1.15843,0.54564,0.70831,0.66649,0.47555,1.23227,1.0577,1.65954,0.000234068,0.000234068,0.000234068
77,2113.95,0.69251,0.96523,1.1534,0.55225,0.72803,0.69616,0.50279,1.20918,1.03196,1.63262,0.000225068,0.000225068,0.000225068
78,2141.91,0.69886,0.9677,1.16155,0.54512,0.72504,0.65409,0.45293,1.20857,1.05333,1.64905,0.000216069,0.000216069,0.000216069
79,2169.96,0.68247,0.95988,1.14803,0.55831,0.73655,0.68684,0.49524,1.19726,1.04805,1.62075,0.00020707,0.00020707,0.00020707
80,2197.95,0.67166,0.94734,1.14162,0.5698,0.729,0.68894,0.50124,1.18154,1.04558,1.61238,0.000198071,0.000198071,0.000198071
